epidemiological_week,date,order_for_place,state,city,GEOCODIGO,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
19,2020-05-05,38,RJ,Rio das Ostras,3304524,city,46,30.52949,0,7,0,0.1522,150674,False,True
19,2020-05-05,61,RJ,Rio de Janeiro,3304557,city,7283,108.39567,0,670,0,0.092,6718903,False,True
19,2020-05-05,10,RJ,Santa Maria Madalena,3304607,city,1,9.61169,0,0,0,0.0,10404,False,True
19,2020-05-05,16,RJ,Santo Antônio de Pádua,3304706,city,4,9.41642,0,1,0,0.25,42479,False,True
19,2020-05-05,24,RJ,São Fidélis,3304805,city,5,12.93025,0,0,0,0.0,38669,False,True
19,2020-05-05,26,RJ,São Francisco de Itabapoana,3304755,city,11,26.06326,0,1,0,0.0909,42205,False,True
19,2020-05-05,44,RJ,São Gonçalo,3304904,city,326,30.05054,0,25,0,0.0767,1084839,False,True
19,2020-05-05,31,RJ,São João da Barra,3305000,city,15,41.54894,0,1,0,0.0667,36102,False,True
19,2020-05-05,37,RJ,São João de Meriti,3305109,city,228,48.26357,0,21,0,0.0921,472406,False,True
19,2020-05-05,10,RJ,São José de Ubá,3305133,city,3,41.83517,0,0,0,0.0,7171,False,True
19,2020-05-05,9,RJ,São José do Vale do Rio Preto,3305158,city,2,9.17642,0,0,0,0.0,21795,False,True
19,2020-05-05,36,RJ,São Pedro da Aldeia,3305208,city,25,23.92894,0,2,0,0.08,104476,False,True
19,2020-05-05,12,RJ,São Sebastião do Alto,3305307,city,2,21.37437,0,0,0,0.0,9357,False,True
19,2020-05-05,29,RJ,Sapucaia,3305406,city,19,104.23524,0,2,0,0.1053,18228,False,True
19,2020-05-05,24,RJ,Saquarema,3305505,city,40,44.85814,0,3,0,0.075,89170,False,True
19,2020-05-05,38,RJ,Seropédica,3305554,city,12,14.57868,0,0,0,0.0,82312,False,True
19,2020-05-05,21,RJ,Silva Jardim,3305604,city,6,27.5558,0,1,0,0.1667,21774,False,True
19,2020-05-05,27,RJ,Sumidouro,3305703,city,2,12.80164,0,0,0,0.0,15623,False,True
19,2020-05-05,31,RJ,Tanguá,3305752,city,16,46.63499,0,6,0,0.375,34309,False,True
19,2020-05-05,37,RJ,Teresópolis,3305802,city,60,32.85979,0,4,0,0.0667,182594,False,True
19,2020-05-05,31,RJ,Trajano de Moraes,3305901,city,0,,0,0,0,0.0,10626,False,True
19,2020-05-05,33,RJ,Três Rios,3306008,city,22,26.89355,0,0,0,0.0,81804,False,True
19,2020-05-05,42,RJ,Valença,3306107,city,8,10.45437,0,0,0,0.0,76523,False,True
19,2020-05-05,13,RJ,Vassouras,3306206,city,7,18.97225,0,1,0,0.1429,36896,False,True
19,2020-05-05,43,RJ,Volta Redonda,3306305,city,343,125.6355,0,16,0,0.0466,273012,False,True
19,2020-05-05,62,RJ,,33,state,11721,67.88902,0,1065,0,0.0909,17264943,False,True
